snapshot_id,scenario,attack_ratio,bucket_end_s,nodes,attackers,reachable_nodes,mean_pdr,mean_rank_delta
50n_20p_seed2_t00060,50n_20p_seed2,0.2,60,50,10,50,0.98,0.0
50n_20p_seed2_t00120,50n_20p_seed2,0.2,120,50,10,50,0.98,0.0
50n_20p_seed2_t00180,50n_20p_seed2,0.2,180,50,10,50,0.98,0.0
50n_20p_seed2_t00240,50n_20p_seed2,0.2,240,50,10,50,0.98,0.0
50n_20p_seed2_t00300,50n_20p_seed2,0.2,300,50,10,50,0.98,0.0
50n_20p_seed2_t00360,50n_20p_seed2,0.2,360,50,10,50,0.9733333333333334,0.0
50n_20p_seed2_t00420,50n_20p_seed2,0.2,420,50,10,50,1.0,0.0
50n_20p_seed2_t00480,50n_20p_seed2,0.2,480,50,10,50,0.9633333333333333,0.0
50n_20p_seed2_t00540,50n_20p_seed2,0.2,540,50,10,50,1.01,0.0
50n_20p_seed3_t00060,50n_20p_seed3,0.2,60,50,10,50,0.98,0.0
50n_20p_seed3_t00120,50n_20p_seed3,0.2,120,50,10,50,0.98,0.0
50n_20p_seed3_t00180,50n_20p_seed3,0.2,180,50,10,50,0.99,0.0
50n_20p_seed3_t00240,50n_20p_seed3,0.2,240,50,10,50,0.9933333333333333,0.0
50n_20p_seed3_t00300,50n_20p_seed3,0.2,300,50,10,50,0.97,0.0
50n_20p_seed3_t00360,50n_20p_seed3,0.2,360,50,10,50,1.02,0.0
50n_20p_seed3_t00420,50n_20p_seed3,0.2,420,50,10,50,0.98,0.0
50n_20p_seed3_t00480,50n_20p_seed3,0.2,480,50,10,50,0.9766666666666666,0.0
50n_20p_seed3_t00540,50n_20p_seed3,0.2,540,50,10,50,0.9933333333333333,0.0
50n_20p_seed4_t00060,50n_20p_seed4,0.2,60,50,10,50,0.96,0.0
50n_20p_seed4_t00120,50n_20p_seed4,0.2,120,50,10,50,0.9933333333333333,0.0
50n_20p_seed4_t00180,50n_20p_seed4,0.2,180,50,10,50,0.96,0.0
50n_20p_seed4_t00240,50n_20p_seed4,0.2,240,50,10,50,0.99,0.0
50n_20p_seed4_t00300,50n_20p_seed4,0.2,300,50,10,50,0.97,0.0
50n_20p_seed4_t00360,50n_20p_seed4,0.2,360,50,10,50,0.99,0.0
50n_20p_seed4_t00420,50n_20p_seed4,0.2,420,50,10,50,0.9933333333333333,0.0
50n_20p_seed4_t00480,50n_20p_seed4,0.2,480,50,10,50,1.0133333333333332,0.0
50n_20p_seed4_t00540,50n_20p_seed4,0.2,540,50,10,50,0.9833333333333334,0.0
50n_20p_seed5_t00060,50n_20p_seed5,0.2,60,50,10,50,0.94,0.0
50n_20p_seed5_t00120,50n_20p_seed5,0.2,120,50,10,50,1.01,0.0
50n_20p_seed5_t00180,50n_20p_seed5,0.2,180,50,10,50,0.9666666666666666,0.0
50n_20p_seed5_t00240,50n_20p_seed5,0.2,240,50,10,50,0.98,0.0
50n_20p_seed5_t00300,50n_20p_seed5,0.2,300,50,10,50,0.98,0.0
50n_20p_seed5_t00360,50n_20p_seed5,0.2,360,50,10,50,0.98,0.0
50n_20p_seed5_t00420,50n_20p_seed5,0.2,420,50,10,50,0.98,0.0
50n_20p_seed5_t00480,50n_20p_seed5,0.2,480,50,10,50,0.97,0.0
50n_20p_seed5_t00540,50n_20p_seed5,0.2,540,50,10,50,1.01,0.0
50n_30p_seed1_t00060,50n_30p_seed1,0.3,60,50,15,50,0.98,0.0
50n_30p_seed1_t00120,50n_30p_seed1,0.3,120,50,15,50,0.98,0.0
50n_30p_seed1_t00180,50n_30p_seed1,0.3,180,50,15,50,0.98,0.0
50n_30p_seed1_t00240,50n_30p_seed1,0.3,240,50,15,50,0.98,0.0
50n_30p_seed1_t00300,50n_30p_seed1,0.3,300,50,15,50,0.98,0.0
50n_30p_seed1_t00360,50n_30p_seed1,0.3,360,50,15,50,0.98,0.0
50n_30p_seed1_t00420,50n_30p_seed1,0.3,420,50,15,50,0.98,0.0
50n_30p_seed1_t00480,50n_30p_seed1,0.3,480,50,15,50,0.98,0.0
50n_30p_seed1_t00540,50n_30p_seed1,0.3,540,50,15,50,0.9833333333333333,0.0
50n_30p_seed2_t00060,50n_30p_seed2,0.3,60,50,15,50,0.98,0.0
50n_30p_seed2_t00120,50n_30p_seed2,0.3,120,50,15,50,0.9733333333333333,0.0
